Source Page URL,Name,Address,Tel no,Fax no
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022816,Zhenghua Community Club,1 Segar Road Singapore 677738,63106702/ 63106413,63106703
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022815,Sengkang Community Club,2 Sengkang Square #01-01 Sengkang Community Hub Singapore 545025,63125400,63128696
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022729,Geylang Serai Community Club,99 Haig Road Singapore 438748,67472919,67445460
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022818,Woodgrove Community Centre,Blk 353 Woodlands Avenue 1 #01-753 Singapore 730353,63669010,63663051
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022728,Bukit Batok Community Club,21 Bukit Batok Central Singapore 659959,65646317,65668557
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022727,Tampines West Community Club,5 Tampines Avenue 3 Singapore 529705,67886202/ 67837910,67854875
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022721,Hougang Community Club,35 Hougang Avenue 3 Singapore 538840,62828887,62827136
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022720,Ci Yuan Community Centre,Block 662 Hougang Avenue 4 #01-413 Singapore 530662,63863717,63879015
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022810,Bukit Batok East Community Club,23 Bukit Batok East Avenue 4 Singapore 659841,65659330/ 65691678,65656057
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022726,Tampines East Community Club,10 Tampines Street 23 Singapore 529341,67863227,67863449
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022812,Canberra Community Club,02 Sembawang Crescent #01-01 Singapore 757632,67556369,67554101
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022725,Tampines Central Community Club,Block 866A Tampines Street 83 #02-01 Singapore 521866,67850004 / 67858292,67868952
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022724,Tampines Changkat Community Club,13 Tampines Street 11 Singapore 529453,67811806,67860666
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022814,Senja-Cashew Community Centre,101 Bukit Panjang Road (Opposite Bukit Panjang Plaza) Singapore 679910,62194561,62194564
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022723,Tampines North Community Club,2 Tampines Street 41 Singapore 529204,67832900/ 67832254,67833831
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022813,Katong Community Centre,51 Kampong Arang Road Singapore 438178,63458258,63455782
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022739,Telok Ayer Hong Lim Green Community Centre,20 Upper Pickering Street Singapore 058284,65333260/ 65334337,65330647
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022738,Tanglin Community Club,245 Whitley Road Singapore 297829,62513922,62563209
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022806,Nee Soon Central Community Centre,Block 749 Yishun Street 72 #01-138 Singapore 760749,67527687,67528965
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022805,Woodlands Community Club,1 Woodlands Street 81 Singapore 738526,63689938,63696295
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022804,Sembawang Community Club,2125 Sembawang Road 21 km Singapore 758528,67584183,67527388
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022809,The Frontier Community Club,60 Jurong West Central 3 #01-01 Singapore 648346,67958229,67955383
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022808,Rivervale Community Centre,Block 193 Rivervale Drive #01-787 Singapore 540193,63120470,68753913
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022731,Braddell Heights Community Club,50 Serangoon Avenue 2 #01-01 Singapore 556129,62881258/ 62881235,62834438
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022733,Mountbatten Community Club,35 Jalan Satu Singapore 399479,63447387,64404196
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022732,Marine Parade Community Club,278 Marine Parade Road Singapore 449282,63467703,63466472
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022803,Nee Soon East Community Club,Blk 208 Yishun Street 21 #01-01 (Temp Office till June 2015) Singapore 760208,62570446,62577345
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022735,Kim Seng Community Centre,570 Havelock Road Singapore 169640,62723878,62700301
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022761,Toa Payoh South Community Club,1999 Lorong 8 Toa Payoh Singapore 319258,62596602,62596676
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022722,Kallang Community Club,45 Boon Keng Road Singapore 339771,62984582,62934555
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022802,Marsiling Community Club,100 Admiralty Road Singapore 739980,62696768,63684225
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022734,Cairnhill Community Club,1 Anthony Road Singapore 229944 (Closed for upgrading works till 2015) Temp Address: c/o Henderson CC 500 Bukit Merah View Singapore 159682,62708895/ 62710168,62703578
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022737,Pek Kio Community Centre,21 Gloucester Road Singapore 219458,62990565,62992341
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022801,Fuchun Community Club,1 Woodlands Street 31 Singapore 738581,63656911,63657472
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022736,Kreta Ayer Community Club,28A Kreta Ayer Road Singapore 088995,62223597,62223762
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022800,Chong Pang Community Club,21 Yishun Ring Road Singapore 768677,67588258/ 67541788,62571613
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022740,Kampong Glam Community Club,385 Beach Road Singapore 199581,62950741,62931359
http://app.sgdi.gov.sg/listing.asp?agency_subtype=dept&agency_id=0000022730,Kampong Ubi Community Centre,10 Jalan Ubi Singapore 409075,67459919,67464122
